reviewText,Ratings,Sentiment
"Amazon,
I am shopping for Amazon.com gift cards for Christmas gifts and am really so disappointed that out of five choices there isn't one that says ""Merry Christmas"" or mentions Christmas at all!  I am sure I am not alone in wanting a card that reflects the actual ""holiday"" we are celebrating. On principle, I cannot send a Amazon gift card this Christmas.  What's up with all the Political Correctness?  Bad marketing decision.
Lynn",1,Negative
"I got this gift card from a friend, and it was the best! The site has so much to choose from... great gift.",5,Positive
"aren't we going to save trees?! :) People who were complaining about paper gift cards can simply buy an electronic gift card via email. It's very convenient and indeed a great gift. I found paper gift cards annoying since you have to always wonder how much money you got left on it. And if you lose it, you lose it. An electronic delivery of the gift card makes it a lot of easier to redeem, you only need to COPY/PASTE the code into your gift certificate balance and it'll be there whenever you want to use it.

I've sent friends electronic gift cards via email for their newborns, for their weddings, and for their housewarmings. :)

Happy holidays",5,Positive
"You can always get someone something from Amazon with the safety net that they can return it if they don't like it. But returning things is such a hassle. The card takes care of that--no more returns, no more hassles.",1,Negative
"Why take 50 dollars of good money with no limitations, and turn it into Amazon money that can only be used at their site? Where is the benefit?

Also, you spend time and headache buying these types of cards, dealing with any activation issues risking expiration or delivery issues and then you have to keep up with them and keep track of how much you have remaining on the card....

They should at least give a discount for committing your purchasing power to them...",1,Neutral
Gift Cards are the truly personal gift.  My only problem is after I received it and could have given it away as a gift I got an email from Amazon - whoops we forgot to activate your card.  Be sure your card is good before giving as a gift.  Amazon is very good about notifying and doing refunds but this could leave a procrastinator in the lurch with a bad gift which really will be good when Amazon knows the problem.  Kudos for the quick second card and I've checked it and it's fully loaded.  Thanks!,1,Negative
"I am a dedicated Amazon.com shopper, and, am almost always happy. That being said, please note the top of the page should you be an Amazon Prime member. I NEVER thought that Gift Cards from Amazon.com would be subject to additional shipping and handling... The charge to me for two cards? Over $13.",5,Positive
"Bought three $50 gift cards as gifts, received them and mailed them out.  One week letter Amazon emailed me that the cards could not be activated and were no good and they were so sorry.  I contacted Amazon and they could not explain what happened but again they were ""sorry"".  So I had to contact recipients and explain their gift was worthless.  7 days later I'm still waiting for a refund to my credit card.

Don't order these-the same thing could happen to you.  How embarrassing to give these as gifts.",1,Negative
At this time of year Amazon gift cards are turning out to be the best gifts to give and I'm glad now that I can buy them by putting them in my cart with other products instead of having to order them separately.,5,Positive
"I bought 8 gift cards to give out as presents.  I was totally surprised that they came sealed inside the Amazon envelopes.  I cannot sign the cards without opening therefore damaging the envelopes.  I asked Amazon to ship me replacement envelopes but they are not able to do that as in the following response.

""Thank you for contacting us at Amazon.com. I'm sorry to hear that the gift card envelopes were damaged when opening it. I do understand your concern in this regard. Unfortunately, we are unable to replace the envelopes only as we do not have any stock of additional gift card envelopes. Hope you can understand our limitations in this matter.""

Please do not buy these cards.",1,Negative
